time,use_house_overall,generated_solar,dishwasher,homeoffice,fridge,winecellar,garagedoor,barn,well,microwave,livingroom,temperature,humidity,visibility,pressure,windspeed,cloudcover,windbearing,precipprobability,furnace,kitchen,year,month,day,weekofyear,hour,minute,wd_Friday,wd_Monday,wd_Saturday,wd_Sunday,wd_Thursday,wd_Tuesday,wd_Wednesday,time_Afternoon,time_Evening,time_Morning,time_Night,hour_sin,hour_cos
2016-09-05 11:00:00,0.502015,0.01414138895,4.453333333333333e-06,0.0405127778166666,0.0680872222666666,0.0961127777833333,0.0130305556166666,0.0300144444833333,0.0009955555333333,0.0039830555833333,0.0015575000166666,58.176,0.712,9.991333333333332,1022.2006666666668,8.178,0.0473333333333333,2.1333333333333333,0.0,0.0865622222333333,0.0002334300166666,2016.0,9.0,5.0,36.0,11,29.5,False,True,False,False,False,False,False,False,False,True,False,0.258819045102521,-0.9659258262890682
2016-09-05 12:00:00,0.4529383333,0.0686836111166666,6.123333333333333e-06,0.0404794444166666,0.0516202777833333,0.1237397222166666,0.01292000005,0.0293313888833333,0.0009649999666666,0.0039399999833333,0.0014647222666666,56.1705,0.7446666666666667,9.875833333333333,1022.6591666666668,5.264833333333333,0.0088333333333333,45.06666666666667,0.0,0.0868858333166666,0.0002525014722222,2016.0,9.0,5.0,36.0,12,29.5,False,True,False,False,False,False,False,True,False,False,False,1.2246467991473532e-16,-1.0
2016-09-05 13:00:00,0.4288858333,0.1332313889333333,5.566666666666666e-06,0.0404180556166666,0.0344313889333333,0.0978336111,0.0127211111666666,0.0288522222,0.0009330555,0.00385500005,0.0368197222166666,53.848333333333336,0.7866666666666667,9.891666666666667,1022.93,4.546666666666667,0.0,356.1666666666667,0.0,0.0861816666833333,0.0203027787,2016.0,9.0,5.0,36.0,13,29.5,False,True,False,False,False,False,False,True,False,False,False,-0.2588190451025208,-0.9659258262890683
2016-09-05 14:00:00,0.36142472225,0.2084952777833333,8.62e-06,0.0404519444166666,0.07794972225,0.0448688889,0.0128961110499999,0.02918722225,0.0520125000166666,0.0040061110833333,0.0468552778,51.959,0.8286666666666667,9.695833333333333,1023.2645,4.063,0.0,281.81666666666666,0.0,0.1031211111,0.00023028055,2016.0,9.0,5.0,36.0,14,29.5,False,True,False,False,False,False,False,True,False,False,False,-0.4999999999999998,-0.8660254037844388
2016-09-05 15:00:00,0.9119430555666668,0.22650805555,7.506666666666666e-06,0.0454936110333333,0.0543161111,0.08685166665,0.0128149999833333,0.0290955555833333,0.0429738889,0.0040780556,0.11895805555,49.868,0.8653333333333334,9.556,1023.7166666666668,3.568,0.0026666666666666,7.866666666666666,0.0,0.10037638895,0.0002463927611111,2016.0,9.0,5.0,36.0,15,29.5,False,True,False,False,False,False,False,True,False,False,False,-0.7071067811865471,-0.7071067811865479
2016-09-05 16:00:00,0.4047230555166666,0.3236494444333333,1.3056666666666668e-05,0.0633866667166666,0.0456788889,0.0345775,0.0181091666666666,0.1309947222166666,0.0553797222166666,0.0041325,0.0960808333166666,48.75433333333333,0.8831666666666667,9.146333333333333,1024.2783333333332,3.7848333333333337,0.0163333333333333,114.73333333333332,0.0,0.1259019444666666,0.00025398795,2016.0,9.0,5.0,36.0,16,29.5,False,True,False,False,False,False,False,True,False,False,False,-0.8660254037844384,-0.5000000000000004
2016-09-05 17:00:00,0.8616497222666666,0.3783922221666666,5.566666666666666e-06,0.0402744444166666,0.0829194444333333,0.1115883333166666,0.0160286111,0.3481133333833333,0.09896694445,0.0040841666166666,0.0947713888833333,48.30433333333333,0.8936666666666667,8.179333333333334,1024.774,5.123666666666666,0.019,232.96666666666667,0.0,0.0882930555666666,0.0175297265,2016.0,9.0,5.0,36.0,17,29.5,False,True,False,False,False,False,False,False,True,False,False,-0.9659258262890683,-0.25881904510252063
2016-09-05 18:00:00,0.6193958332666667,0.3373794444166667,1.1676666666666666e-05,0.0403188888833333,0.0737152778,0.0549338888833333,0.0127427777666666,0.3792658333833333,0.00092972225,0.0039913888666666,0.09549194445,50.0325,0.8666666666666667,8.805833333333334,1025.315,5.719166666666666,0.0125,14.083333333333334,0.0,0.1099519443999999,0.00040417225,2016.0,9.0,5.0,36.0,18,29.5,False,True,False,False,False,False,False,False,True,False,False,-1.0,-1.8369701987210297e-16
2016-09-05 19:00:00,0.9770030555,0.2895194444333333,5.0099999999999995e-06,0.0749883333333333,0.0895988888999999,0.1185180555166666,0.0125366666666666,0.13860833335,0.09511472215,0.1784547222333333,0.0950794444166666,54.940666666666665,0.7546666666666667,9.509333333333332,1025.896,6.8613333333333335,0.0393333333333333,15.6,0.0,0.0875527778166666,0.0046908403666666,2016.0,9.0,5.0,36.0,19,29.5,False,True,False,False,False,False,False,False,True,False,False,-0.9659258262890684,0.2588190451025203
2016-09-05 20:00:00,1.1485763889,0.1977527777333333,0.2843347255833333,0.0463277777833333,0.0640705555333333,0.0603497222166666,0.0123758333166666,0.2513527778166666,0.10555749995,0.0039841667333333,0.09620638885,59.28549999999999,0.6231666666666666,9.979333333333331,1026.2956666666666,8.626000000000001,0.05,22.0,0.0,0.12392555555,0.0003238035166666,2016.0,9.0,5.0,36.0,20,29.5,False,True,False,False,False,False,False,False,True,False,False,-0.8660254037844386,0.5000000000000001
