time,use_house_overall,generated_solar,dishwasher,homeoffice,fridge,winecellar,garagedoor,barn,well,microwave,livingroom,temperature,humidity,visibility,pressure,windspeed,cloudcover,windbearing,precipprobability,furnace,kitchen,year,month,day,weekofyear,hour,minute,wd_Friday,wd_Monday,wd_Saturday,wd_Sunday,wd_Thursday,wd_Tuesday,wd_Wednesday,time_Afternoon,time_Evening,time_Morning,time_Night,hour_sin,hour_cos,lag_1,lag_2,lag_3,lag_6,lag_12,lag_24,lag_48,roll_mean_3,roll_mean_6,roll_mean_12,roll_mean_24,appliance_sum,furnace_on,net_energy_lag_1,hour_block,is_weekend,is_night,dayofyear,dayofyear_sin,dayofyear_cos
2016-11-25 22:00:00,1.8758133333,0.0043563888333333,4.639163333333334e-05,0.0705127777666666,0.0773524999833333,0.0083797222166666,0.0121072222333333,0.0362263888833333,0.0552077777666666,0.0030513889,0.0093808333166666,27.913333333333338,0.4483333333333333,10.0,1020.1141666666666,15.2425,0.1158333333333333,302.0833333333333,0.0,0.2946372221833334,0.0002561164777777,2016.0,11.0,25.0,47.0,22,29.5,True,False,False,False,False,False,False,False,False,False,True,-0.5000000000000004,0.8660254037844384,1.7400166666833334,1.216227499966667,0.6771000000833334,,,,,1.211114722244445,1.1937700463111112,1.1550282407444445,,0.18026416938333314,1,1.7356805556166668,5,0,1,330,-0.5667017562911184,0.8239230057575536
2016-11-25 23:00:00,1.5462416666333332,0.0041472222,1.6118333333333335e-05,0.0431794444833333,0.0930697222,0.0081836111333333,0.01237249995,0.0356138888833333,0.04586888885,0.2385161111333333,0.0092225,26.879833333333337,0.4691666666666666,10.0,1021.2278333333333,13.146,0.1391666666666667,304.96666666666664,0.0,0.2277019444333333,0.0002410235055555,2016.0,11.0,25.0,47.0,23,29.5,True,False,False,False,False,False,False,False,False,False,True,-0.2588190451025215,0.965925826289068,1.8758133333,1.7400166666833334,1.216227499966667,,,,,1.6106858333166671,1.360630879636111,1.2552056944430554,,0.42126834053333323,1,1.8714569444666667,5,0,1,330,-0.5667017562911184,0.8239230057575536
2016-11-26 00:00:00,1.7314847222,0.0045205555333333,3.1393316666666666e-05,0.1989172222333333,0.03222944435,0.00812916665,0.02751333335,0.0325361111166666,0.1025072222,0.00301527775,0.0094155556166666,26.224,0.4606666666666666,10.0,1022.0273333333332,12.937333333333331,0.154,309.0,0.0,0.3132144444666666,0.0003854677722222,2016.0,11.0,26.0,47.0,0,29.5,False,False,True,False,False,False,False,False,False,False,True,0.0,1.0,1.5462416666333332,1.8758133333,1.7400166666833334,,,,,1.7206905555388892,1.3533532870305554,1.2890064351819446,,0.17844861538333323,1,1.542094444433333,0,1,1,331,-0.5524353131676203,0.8335557718385695
2016-11-26 01:00:00,2.1810416666333334,0.00493111115,4.167611666666667e-05,0.5362658334,0.0646311111166666,0.0078630555333333,0.0125433333333333,0.0359441666166666,0.0865844443999999,0.00293888885,0.0095524999833333,25.794666666666668,0.4723333333333333,10.0,1022.4391666666668,12.478833333333332,0.2029999999999999,309.1166666666667,0.0,0.30508638895,0.0003972270277777,2016.0,11.0,26.0,47.0,1,29.5,False,False,True,False,False,False,False,False,False,False,True,0.2588190451025207,0.9659258262890684,1.7314847222,1.5462416666333332,1.8758133333,,,,,1.7178465740444449,1.4644806481444441,1.3585300462930556,,0.19800334263333305,1,1.7269641666666669,0,1,1,331,-0.5524353131676203,0.8335557718385695
2016-11-26 02:00:00,1.6882302777333331,0.0046155556166666,4.500945e-05,0.3105222222333333,0.0621136111,0.00789055555,0.0128361110833333,0.0326130555333333,0.0007875000333333,0.0030291667166666,0.00954555555,25.123333333333335,0.495,10.0,1022.73,11.185,0.1516666666666666,311.0,0.0,0.2400047221833333,0.0003400049944444,2016.0,11.0,26.0,47.0,2,29.5,False,False,True,False,False,False,False,False,False,False,True,0.4999999999999999,0.8660254037844387,2.1810416666333334,1.7314847222,1.5462416666333332,,,,,1.8195893518222228,1.7151375925694443,1.3918994444375,,0.1064788983833332,1,2.1761105554833335,0,1,1,331,-0.5524353131676203,0.8335557718385695
2016-11-26 03:00:00,0.61411,0.0042763889,2.862055e-05,0.0506291666333333,0.0201150000499999,0.0080647222333333,0.0132913888666666,0.0325363888833333,0.00076583335,0.0032061110166666,0.00915777785,23.97783333333333,0.5243333333333333,10.0,1023.1753333333334,9.927833333333332,0.1578333333333333,314.05,0.0,0.13697666665,0.0002457474055555,2016.0,11.0,26.0,47.0,3,29.5,False,False,True,False,False,False,False,False,False,False,True,0.7071067811865475,0.7071067811865476,1.6882302777333331,2.1810416666333334,1.7314847222,,,,,1.8669188888555557,1.793804722197222,1.4054613888791667,,0.0647166760833331,1,1.6836147221166664,0,1,1,331,-0.5524353131676203,0.8335557718385695
2016-11-26 04:00:00,0.54246916665,0.0044180556,3.52861e-05,0.0505780555333333,0.0470597222666666,0.0079497222333333,0.0131797222166666,0.0325869444166666,0.0465233333333333,0.00317194445,0.0091422222166666,22.766,0.548,10.0,1023.5066666666668,8.668666666666667,0.118,309.1333333333333,0.0,0.1533733333666666,0.0002450033111111,2016.0,11.0,26.0,47.0,4,29.5,False,False,True,False,False,False,False,False,False,True,False,0.8660254037844386,0.5000000000000001,0.61411,1.6882302777333331,2.1810416666333334,,,,,1.4944606481222227,1.606153611083333,1.3999618286972222,,0.1373269527999998,1,0.6098336111,1,1,1,331,-0.5524353131676203,0.8335557718385695
2016-11-26 05:00:00,0.6163316666333334,0.0043950000166666,8.556221666666666e-05,0.0482469444833333,0.0596449999666666,0.0079324999833333,0.0131088889166666,0.0327483333666666,0.0009766666166666,0.0031761111333333,0.0091358333333333,21.834166666666665,0.5763333333333333,10.0,1023.5776666666668,6.877833333333333,0.0299999999999999,312.78333333333336,0.0,0.2774583333166667,0.0002561163055555,2016.0,11.0,26.0,47.0,5,29.5,False,False,True,False,False,False,False,False,False,True,False,0.9659258262890684,0.2588190451025207,0.54246916665,0.61411,1.6882302777333331,,,,,0.9482698147944447,1.3839295833083332,1.3722802314722224,,0.10456417328333306,1,0.53805111105,1,1,1,331,-0.5524353131676203,0.8335557718385695
2016-11-26 06:00:00,0.6035294444333333,0.0043413888833333,9.00061e-05,0.0455119444333333,0.0321386111333333,0.0079927778,0.0132027777833333,0.0328280556166666,0.0009866665833333,0.0032030555333333,0.0091094444666666,21.140666666666668,0.5936666666666667,10.0,1023.975,7.023,0.0226666666666666,308.73333333333335,0.0,0.3297713888333333,0.0002793579444444,2016.0,11.0,26.0,47.0,6,29.5,False,False,True,False,False,False,False,False,False,True,False,1.0,6.123233995736766e-17,0.6163316666333334,0.54246916665,0.61411,,,,,0.5909702777611116,1.2289445833083332,1.2911489351694445,,0.0772391727666665,1,0.6119366666166668,1,1,1,331,-0.5524353131676203,0.8335557718385695
2016-11-26 07:00:00,0.5944291666166667,0.0043352777833333,4.944945e-05,0.0454658333166666,0.0275752778833333,0.0079747221833333,0.0132222222666666,0.0327722222666666,0.0009886109833333,0.0032236110666666,0.0091013889166666,20.3975,0.6,10.0,1024.485,5.869166666666667,0.0183333333333333,307.5,0.0,0.3361813888666666,0.0002563973833333,2016.0,11.0,26.0,47.0,7,29.5,False,False,True,False,False,False,False,False,False,True,False,0.9659258262890684,-0.2588190451025206,0.6035294444333333,0.6163316666333334,0.54246916665,,,,,0.587443425905556,1.0409520370138887,1.2527163425791665,,0.07258389383333312,1,0.59918805555,1,1,0,331,-0.5524353131676203,0.8335557718385695
