time,use_house_overall,generated_solar,dishwasher,homeoffice,fridge,winecellar,garagedoor,barn,well,microwave,livingroom,temperature,humidity,visibility,pressure,windspeed,cloudcover,windbearing,precipprobability,furnace,kitchen,year,month,day,weekofyear,hour,minute,weekday,timing
2016-08-20 03:00:00,0.7515138888666667,0.0033766666,0.0013402772666666666,0.08418694446666668,0.07071000000000001,0.06462888893333334,0.012697777733333334,0.032593611083333335,0.0454533333,0.0039811111,0.0019238888666666667,79.41416666666667,0.5591666666666666,9.941666666666666,1020.2716666666668,8.725,0.052500000000000005,182.5,0.0,0.1060927777,0.00025343,2016.0,8.0,20.0,33.0,3,29.5,Saturday,Night
2016-08-20 04:00:00,0.40114472219999997,0.0033169445000000002,0.00025972241666666666,0.04274277775,0.05002249993333333,0.01876722225,0.0128669444,0.031042777816666665,0.0008961110833333333,0.0038905554833333334,0.0016808333666666665,76.298,0.6233333333333333,9.925333333333333,1020.19,8.363333333333333,0.07466666666666667,181.33333333333334,0.0,0.08387888881666666,0.0002450040777777778,2016.0,8.0,20.0,33.0,4,29.5,Saturday,Morning
2016-08-20 05:00:00,0.5302416666833333,0.0029819444,0.00024805551666666665,0.042753888866666666,0.08267777778333334,0.11870305551666667,0.012849444433333333,0.031180277716666666,0.0009811110666666666,0.0039430555,0.00166861115,74.06333333333333,0.6655,10.0,1020.3578333333334,7.407,0.08,185.03333333333333,0.0,0.08372694448333333,0.0002326005388888889,2016.0,8.0,20.0,33.0,5,29.5,Saturday,Morning
2016-08-20 06:00:00,0.3940833333,0.0029508333,0.00025611123333333334,0.0427502778,0.027171111116666667,0.048803611133333334,0.012902499983333334,0.031235277783333334,0.0009933333166666667,0.003979166616666667,0.0016905555833333333,72.64966666666668,0.7026666666666668,10.0,1020.5930000000001,7.27,0.06866666666666667,186.0,0.0,0.08697388883333333,0.0002619489055555556,2016.0,8.0,20.0,33.0,6,29.5,Saturday,Morning
2016-08-20 07:00:00,0.5045983333833334,0.0029755554833333334,0.00025388896666666665,0.04284333335,0.10078277778333335,0.06969611113333334,0.013137500016666666,0.03162499998333333,0.0009913888166666667,0.0039911111,0.0016997222666666665,71.4015,0.7385,10.0,1020.5805,6.960666666666667,0.0785,182.3,0.0,0.08504138893333332,0.00023324666666666666,2016.0,8.0,20.0,33.0,7,29.5,Saturday,Morning
2016-08-20 08:00:00,0.3864344444833333,0.0029333333499999997,0.00025472231666666666,0.0427969444,0.005134166566666667,0.07050277778333333,0.013022500033333334,0.03373472216666666,0.0009911110666666668,0.0039758333,0.0017219444000000001,70.69,0.7566666666666666,10.0,1020.24,7.41,0.16333333333333336,184.66666666666666,0.0,0.08502555549999999,0.0002757479333333333,2016.0,8.0,20.0,33.0,8,29.5,Saturday,Morning
2016-08-20 09:00:00,0.5002230555833334,0.00293666665,0.00025916685000000004,0.04278166666666667,0.09646416669999999,0.04953888885,0.013126944433333334,0.03629750006666667,0.0009891666333333334,0.003986666716666667,0.00170166665,70.23316666666666,0.7815,10.0,1019.6943333333332,7.227166666666666,0.2788333333333333,194.16666666666666,0.0,0.09939194448333333,0.00023185852222222224,2016.0,8.0,20.0,33.0,9,29.5,Saturday,Morning
2016-08-20 10:00:00,0.44970138891666667,0.0017269444166666667,0.0002608335166666666,0.04169333335,0.029922777683333335,0.09251166668333334,0.013168888833333333,0.029859166616666665,0.0009777776833333333,0.003978055566666667,0.00162111115,69.93133333333334,0.8053333333333333,9.693333333333333,1019.3383333333333,6.162999999999999,0.31,199.3,0.253,0.10213583341666667,0.00026528405000000003,2016.0,8.0,20.0,33.0,10,29.5,Saturday,Morning
2016-08-20 11:00:00,0.5947480555333333,0.006168611066666666,0.00017833615,0.040885555549999994,0.07158888890000001,0.024450833383333332,0.013038611133333333,0.029428888883333334,0.0009741667,0.003974166683333334,0.12875166668333335,69.9045,0.81,9.926666666666668,1019.0023333333334,6.077833333333333,0.261,194.28333333333333,0.060500000000000005,0.09156861103333333,0.020889171277777778,2016.0,8.0,20.0,33.0,11,29.5,Saturday,Morning
2016-08-20 12:00:00,0.6622786111833334,0.05960527781666667,4.174999999999999e-06,0.04091472226666667,0.06933111118333332,0.0946525,0.019784722166666664,0.029053611099999998,0.048643888833333336,0.03315194445,0.16323611105,69.40733333333333,0.836,10.0,1018.6800000000001,5.782,0.25866666666666666,196.46666666666667,0.0,0.08719722221666666,0.00023769131111111113,2016.0,8.0,20.0,33.0,12,29.5,Saturday,Afternoon
